"Time","temperature Prague"
2023-05-20 10:42:20,26.3 °C
2023-05-20 10:58:00,26.4 °C
2023-05-20 11:13:20,26.4 °C
2023-05-20 11:29:00,26.6 °C
2023-05-20 11:44:40,26.6 °C
2023-05-20 12:00:00,26.8 °C
2023-05-20 12:10:20,27.1 °C
2023-05-20 12:25:40,27.2 °C
2023-05-20 12:41:20,27.3 °C
2023-05-20 12:57:00,27.5 °C
2023-05-20 13:11:20,27.8 °C
2023-05-20 13:26:40,27.8 °C
2023-05-20 13:42:20,27.9 °C
2023-05-20 13:58:00,28 °C
2023-05-20 14:13:20,28.1 °C
2023-05-20 14:29:00,28 °C
2023-05-20 14:44:40,28 °C
2023-05-20 15:00:00,28.1 °C
2023-05-20 15:15:40,28 °C
2023-05-20 15:31:20,27.9 °C
2023-05-20 15:46:40,27.9 °C
2023-05-20 15:55:40,27.6 °C
2023-05-20 16:11:00,27.7 °C
2023-05-20 16:26:40,27.8 °C

